Location,Temperature
1,21.9
2,21.9
3,21.9
4,21.9
5,21.9
6,21.9
7,21.9
8,21.9
9,21.9
10,21.9
11,21.9
12,21.9
13,21.9
14,21.9
15,21.9
16,21.9
17,21.9
18,21.9
19,21.9
20,21.9
21,21.9
22,22.0
23,21.9
24,21.9
25,22.0
26,22.0
27,21.9
28,22.0
29,22.0
30,22.0
31,22.0
32,22.0
33,22.0
34,22.0
35,22.0
36,22.0
37,22.0
38,22.0
39,22.0
40,22.0
41,22.0
42,22.0
43,22.0
44,22.8
45,22.8
46,22.8
47,22.8
48,22.8
49,22.8
50,22.8
51,22.8
52,22.8
53,22.8
54,22.8
55,22.9
56,22.8
57,22.8
58,22.8
59,22.9
60,22.8
61,22.9
62,22.9
63,22.9
64,22.9
65,22.9
66,22.9
67,22.9
68,22.9
69,22.9
70,22.9
71,23.0
72,23.0
73,22.9
74,23.0
75,23.0
76,23.0
77,23.0
78,23.0
79,22.9
80,23.0
81,23.0
82,23.0
83,23.0
84,23.0
85,23.0
86,23.0
87,23.0
88,23.0
89,23.0
90,23.0
91,23.0
92,23.0
93,23.0
94,23.0
95,23.0
96,23.0
97,23.0
98,23.0
99,23.0
100,23.0
101,23.0
102,23.0
103,23.0
104,23.1
105,23
106,23
107,23
108,23.1
109,23.1
110,23.1
111,23.0
112,23.1
113,23.0
114,23.1
115,23.1
116,23.1
117,23.1
118,23.1
119,23.1
120,23.1
121,23.1
122,23.1
123,23.1
124,23.1
125,23.1
126,23.1
127,23.1
128,23.1
129,23.1
130,23.1
131,23.1
132,23.1
133,23.1
134,23.1
135,23.1
136,23.1
137,23.1
138,23.1
139,23.1
140,23.2
141,23.2
142,23.1
143,23.2
144,23.2
145,23.1
146,23.2
147,23.2
148,23.2
149,23.2
150,23.2
151,23.2
152,23.2
153,23.2
154,23.2
155,23.2
156,23.2
157,23.2
158,23.2
159,23.2
160,23.2
161,23.2
162,23.2
163,23.2
164,23.2
165,23.2
166,23.2
167,23.2
168,23.2
169,23.2
170,23.2
171,23.2
172,23.2
173,23.2
174,23.3
175,23.2
176,23.2
177,23.3
178,23.3
179,23.3
180,23.3
181,23.3
182,23.3
183,23.3
184,23.3
185,23.3
186,23.3
187,23.3
188,23.3
189,23.3
190,23.3
191,23.3
192,23.3
193,23.3
194,23.3
195,23.3
196,23.3
197,23.3
198,23.3
199,23.4
200,23.4
201,23.3
202,23.3
203,23.4
204,23.4
205,23.4
206,23.4
207,23.4
208,23.4
209,23.4
210,23.4
211,23.4
212,23.4
213,23.4
214,23.4
215,23.4
216,23.4
217,23.4
218,23.4
219,23.4
220,23.4
221,23.4
222,23.4
223,23.5
224,23.4
225,23.5
226,23.5
227,23.5
228,23.4
229,23.5
230,23.4
231,23.5
232,23.5
233,23.4
234,23.5
235,23.5
236,23.5
237,23.5
238,23.5
239,23.5
240,23.5
241,23.5
242,23.5
243,23.5
244,23.5
245,23.5
246,23.5
247,23.5
248,23.5
249,23.5
250,23.5
251,23.5
252,23.5
253,23.5
254,23.5
255,23.6
256,23.6
257,23.6
258,23.5
259,23.5
260,23.5
261,23.6
262,23.6
263,23.5
264,23.6
265,23.6
266,23.5
267,23.5
268,23.6
269,23.6
270,23.5
271,23.5
272,23.5
273,23.5
274,23.5
275,23.5
276,23.6
277,23.5
278,23.6
279,23.6
280,23.6
281,23.6
282,23.6
283,23.6
284,23.6
285,23.6
286,23.6
287,23.6
288,23.6
289,23.6
290,23.5
291,23.6
292,23.6
293,23.5
294,23.6
295,23.6
296,23.5
297,23.6
298,23.6
299,23.5
300,23.6
301,23.6
302,23.6
303,23.6
304,23.6
305,23.6
306,23.6
307,23.6
308,23.6
309,23.6
310,23.6
311,23.6
312,23.6
313,23.6
314,23.6
315,23.6
316,23.6
317,23.6
318,23.6
319,23.6
320,23.6
321,23.6
322,23.5
323,23.6
324,23.6
325,23.6
326,23.6
327,23.6
328,23.6
329,23.6
330,23.6
331,23.6
332,23.6
333,23.6
334,23.6
335,23.6
336,23.6
337,23.6
338,23.6
339,23.6
340,23.6
341,23.6
342,23.6
343,23.6
344,23.6
345,23.6
346,23.6
347,23.6
348,23.6
349,23.6
350,23.6
351,23.6
352,23.6
353,23.6
354,23.6
355,23.6
356,23.6
357,23.6
358,23.6
359,23.6
360,23.6
361,23.6
362,23.6
363,23.6
364,23.6
365,23.6
366,23.6
367,23.6
368,23.6
369,23.6
370,23.6
371,23.6
372,23.6
373,23.6
374,23.6
375,23.6
376,23.6
377,23.6
378,23.6
379,23.6
380,23.6
381,23.6
382,23.6
383,23.6
384,23.6
385,23.6
386,23.7
387,23.6
388,23.6
389,23.6
390,23.7
391,23.7
392,23.6
393,23.7
394,23.7
395,23.7
396,23.7
397,23.7
398,23.7
399,23.7
400,23.7
401,23.7
402,23.7
403,23.7
404,23.7
405,23.7
406,23.7
407,23.7
408,23.7
409,23.7
410,23.7
411,23.7
412,23.7
413,23.7
414,23.7
415,23.7
416,23.7
417,23.7
418,23.7
419,23.7
420,23.7
421,23.7
422,23.7
423,23.7
424,23.7
425,23.7
426,23.7
427,23.7
428,23.8
429,23.8
430,23.8
431,23.8
432,23.8
433,23.8
434,23.8
435,23.8
436,23.8
437,23.8
438,23.8
439,23.8
440,23.8
441,23.8
442,23.8
443,23.8
444,23.8
445,23.8
446,23.8
447,23.8
448,23.7
449,23.7
450,23.7
451,23.6
452,23.5
453,23.3
454,23.3
455,23.2
456,23.0
457,22.9
458,22.8
459,22.8
460,22.7
461,22.6
462,22.6
463,22.5
464,22.4
465,22.4
466,22.3
467,22.2
468,22.1
469,21.9
470,21.7
471,21.6
472,21.5
473,21.4
474,21.3
475,21.1
476,21.0
477,20.8
478,20.6
479,20.4
480,20.2
481,19.9
482,19.6
483,19.3
484,19.2
485,19.1
486,19.0
487,18.9
488,18.7
489,18.6
490,18.5
491,18.2
492,18.2
493,18.1
494,18.0
495,18.0
496,17.9
497,17.8
498,17.7
499,17.7
500,17.5
501,17.5
502,17.5
503,17.5
504,17.4
505,17.3
506,17.3
507,17.3
508,17.3
509,17.3
510,17.2
511,17.2
512,17.1
513,17.1
514,17.1
515,17.1
516,17.1
517,17.1
518,17.1
519,17.1
520,17.1
521,17.1
522,17.1
523,17.1
524,17.1
525,17.1
526,17.1
527,17.1
528,17.1
529,17.1
530,17.1
531,17.1
532,17.1
533,17.1
534,17.1
535,17.1
536,17.1
537,17.1
538,17.1
539,17.1
540,17.1
541,17
542,16.8
543,16.9
544,16.9
545,16.7
546,16.7
547,16.6
548,16.5
549,16.5
550,16.4
551,16.4
552,16.4
553,16.3
554,16.3
555,16.2
556,16.1
557,16.1
558,16.1
559,16
560,15.9
561,15.9
562,15.9
563,15.8
564,15.8
565,15.7
566,15.7
567,15.7
568,15.7
569,15.7
570,15.7
571,15.6
572,15.6
573,15.6
574,15.6
575,15.6
576,15.5
577,15.5
578,15.5
579,15.5
580,15.5
581,15.5
582,15.5
583,15.4
584,15.4
585,15.4
586,15.4
587,15.4
588,15.4
589,15.4
590,15.4
591,15.3
592,15.3
593,15.2
594,15.2
595,15.1
596,15
597,15
598,15
599,14.9
600,14.7
601,14.7
602,14.7
603,14.6
604,14.5
605,14.5
606,14.5
607,14.5
608,14.4
609,14.3
610,14.2
611,14.2
612,14.2
613,14.1
614,14
615,14
616,13.9
617,13.9
618,13.8
619,13.7
620,13.7
621,13.7
622,13.6
623,13.6
624,13.5
625,13.5
626,13.5
627,13.4
628,13.4
629,13.4
630,13.4
631,13.4
632,13.4
633,13.5
634,13.5
635,13.5
636,13.5
637,13.5
638,13.5
639,13.5
