,index,Measurement,Temperature
0,0,1,23.8
1,20,2,23.7
2,61,3,23.6
3,179,4,23.5
4,226,5,23.4
5,252,6,23.3
6,279,7,23.2
7,314,8,23.1
8,347,9,23.0
9,384,10,22.9
10,399,11,22.8
11,416,12,22.7
12,417,13,22.6
13,419,14,22.5
14,420,15,22.4
15,422,16,22.3
16,423,17,22.2
17,424,18,22.1
18,425,19,22.0
19,444,20,21.9
20,469,21,21.7
21,470,22,21.6
22,471,23,21.5
23,472,24,21.4
24,473,25,21.3
25,474,26,21.1
26,475,27,21.0
27,476,28,20.8
28,477,29,20.6
29,478,30,20.4
30,479,31,20.2
31,480,32,19.9
32,481,33,19.6
33,482,34,19.3
34,483,35,19.2
35,484,36,19.1
36,485,37,19.0
37,486,38,18.9
38,487,39,18.7
39,488,40,18.6
40,489,41,18.5
41,490,42,18.2
42,492,43,18.1
43,493,44,18.0
44,495,45,17.9
45,496,46,17.8
46,497,47,17.7
47,499,48,17.5
48,500,49,17.5
49,503,50,17.4
50,504,51,17.3
51,509,52,17.2
52,511,53,17.1
53,540,54,17.0
54,541,55,16.9
55,542,56,16.9
56,543,57,16.8
57,544,58,16.7
58,546,59,16.6
59,547,60,16.5
60,549,61,16.4
61,552,62,16.3
62,554,63,16.2
63,555,64,16.1
64,558,65,16.0
65,559,66,15.9
66,562,67,15.8
67,564,68,15.7
68,570,69,15.6
69,575,70,15.5
70,582,71,15.4
71,590,72,15.3
72,592,73,15.2
73,594,74,15.1
74,595,75,15.0
75,598,76,14.9
76,599,77,14.7
77,602,78,14.6
78,603,79,14.5
79,607,80,14.4
80,608,81,14.3
81,609,82,14.2
82,612,83,14.1
83,613,84,14.0
84,615,85,13.9
85,617,86,13.8
86,618,87,13.7
87,621,88,13.6
88,623,89,13.5
89,633,90,13.4
